CityName,Latitude,Longitude
raipur,21.2514,81.6296
hyderabad,17.3850,78.4867
madurai,9.9252,78.1198
faridabad,28.4089,77.3178
kota,25.2138,75.8648
bhopal,23.2599,77.4126
kolkata,22.5726,88.3639
kanpur,26.4499,80.3319
vadodara,22.3072,73.1812
gurugram,28.4595,77.0266
noida,28.5355,77.3910
thane,19.2183,72.9781
jalandhar,31.3256,75.5792
bengaluru,12.9716,77.5946
chandigarh,30.7333,76.7794
surat,21.1702,72.8311
jamshedpur,22.8046,86.2029
pune,18.5204,73.8567
ghaziabad,28.6692,77.4538
coimbatore,11.0168,76.9558
vishakhapatnam,17.6868,83.2185
salem,11.6643,78.1460
mumbai,19.0760,72.8777
vijayawada,16.5062,80.6480
lucknow,26.8467,80.9462
patna,25.5941,85.1376
aligarh,27.8974,78.0880
ranchi,23.3441,85.3096
ludhiana,30.9010,75.8573
mysore,12.2958,76.6394
guntur,16.3067,80.4365
rajkot,22.3039,70.8022
guwahati,26.1445,91.7362
amritsar,31.5497,74.3436
indore,22.7196,75.8577
jaipur,26.9124,75.7873
warangal,17.9689,79.5941
new delhi,28.6139,77.2090
agra,27.1767,78.0081
meerut,28.6139,77.2090
jodhpur,26.2389,73.0243
moradabad,28.8389,78.7767
varanasi,25.3176,82.9739
ahmedabad,23.0225,72.5714
bhubaneswar,20.2961,85.8245
chennai,13.0827,80.2707
kochi,9.9312,76.2673
nagpur,21.1458,79.0882
dehradun,30.3165,78.0322
allahabad,25.4358,81.8463
